19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.80e086de-237d-41ca-a02b-da2544049908 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.726951bc-4400-41bb-9dc3-0f51c1fa8250 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.d0163c0c-c2a9-4139-b83b-bfe975bfabc4 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.b5014332-35f9-4da7-a2f3-d12789a67585 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.5fe86d64-2c5a-4ddf-a574-6e32ca7a0031 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.0dfe3eaa-1825-4500-9b1e-92536545fd51 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.2e2c1fd6-26b3-43ae-a327-868104772841 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.bd27e9f5-7d23-4b4c-ab7c-f3103d1c1b5f from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.27f032e9-7a2c-4c0c-a30b-5a5d4b736701 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game e778b2fe-5847-41ce-947e-c1539e1f81d3 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game 6e99c309-1eae-42c5-834a-eceb0b1b5166 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game 13a0d6e1-fce9-4b6c-9f3a-582a0f04b6b7 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.8292d474-6625-4bcd-89c0-f7bf1763a69e from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game 2ebae692-5e13-4ee1-a4bd-1f901bac77c6 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.8d752461-4a70-4f1c-9bd5-d320afa9c9f1 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game 9242e234-46a5-4b48-b67c-3795b4c30067 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game dceac06b-afa9-441c-bcd1-35783bcf87e8 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.90683494-2e3f-45c8-91cb-c35d659fad55 from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game eeb2fd4c-e7aa-4e73-a1d4-071b90e1060d from Amazon Games plugin
19-12 10:59:37.657|INFO |GameDatabase:Adding new game amzn1.adg.product.e13c50c9-d548-4e6f-a85a-7f70308279e8 from Amazon Games plugin
