08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\CUESDK.x64_2017.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\default.pso
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\dstorage.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\dstoragecore.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\dxcompiler.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\GFSDK_Aftermath_Lib.x64.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\install-script.vdf
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\install_pspc_sdk_runtime.bat
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Found preferred extension: .bat for file: E:\Games\The Last of Us - Part II Remastered\install_pspc_sdk_runtime.bat
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us)
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Found 17 files in directory
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\EULA.txt
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\Fables.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Found preferred extension: .exe for file: E:\Games\The Wolf Among Us\Fables.exe
